Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
ML Hayden (AUS),11,10,1,659,158,73.22,652,101.07,3,1,0,69,18
DPMD Jayawardene (SL),11,11,2,548,115*,60.88,644,85.09,1,4,0,40,10
RT Ponting (AUS),11,9,1,539,113,67.37,565,95.39,1,4,0,53,11
SB Styris (NZ),10,9,3,499,111*,83.16,598,83.44,1,4,0,45,6
JH Kallis (SA),10,9,3,485,128*,80.83,578,83.91,1,3,0,43,7
ST Jayasuriya (SL),11,11,1,467,115,46.7,475,98.31,2,2,0,47,14
AC Gilchrist (AUS),11,11,1,453,149,45.3,436,103.89,1,2,0,58,10
KP Pietersen (ENG),9,9,1,444,104,55.5,548,81.02,2,3,0,36,5
GC Smith (SA),10,10,1,443,91,49.22,424,104.48,0,5,0,55,6
MJ Clarke (AUS),11,9,4,436,93*,87.2,459,94.98,0,4,0,40,7
RR Sarwan (WI),9,9,1,375,92,46.87,481,77.96,0,2,0,32,5
AB de Villiers (SA),10,10,0,372,146,37.2,369,100.81,1,2,4,47,9
SP Fleming (NZ),10,10,1,353,102*,39.22,409,86.3,1,3,1,40,9
LPC Silva (SL),11,10,2,350,64,43.75,452,77.43,0,4,0,28,4
KC Sangakkara (SL),11,11,1,350,76,35.0,465,75.26,0,4,1,30,2
HH Gibbs (SA),10,8,2,342,72,57.0,373,91.68,0,4,0,20,14
S Chanderpaul (WI),9,9,1,315,102*,39.37,517,60.92,1,2,0,23,9
WU Tharanga (SL),11,11,0,298,73,27.09,446,66.81,0,3,1,27,2
PG Fulton (NZ),8,8,0,297,83,37.12,424,70.04,0,2,1,29,2
PD Collingwood (ENG),9,9,3,276,90,46.0,368,75.0,0,2,0,24,4
BC Lara (WI),9,8,1,269,77,38.42,330,81.51,0,1,0,19,5
CH Gayle (WI),9,9,0,228,79,25.33,272,83.82,0,1,0,28,6
CD McMillan (NZ),10,9,2,228,71,32.57,261,87.35,0,1,0,14,9
TM Dilshan (SL),11,9,2,217,58,31.0,236,91.94,0,1,0,15,2
MN Samuels (WI),8,8,1,216,63,30.85,285,75.78,0,2,0,22,6
Mohammad Ashraful (BDESH),9,9,3,216,87,36.0,267,80.89,0,1,0,27,1
NJ O'Brien (IRE),9,9,0,216,72,24.0,374,57.75,0,2,1,17,1
JP Bray (IRE),9,9,1,212,115*,26.5,338,62.72,1,0,2,22,2
IR Bell (ENG),8,8,0,211,77,26.37,349,60.45,0,1,1,19,0
MP Vaughan (ENG),9,9,0,209,79,23.22,309,67.63,0,1,1,24,2
Shakib Al Hasan (BDESH),9,9,2,202,57*,28.85,353,57.22,0,2,1,15,3
PA Nixon (ENG),9,8,3,193,42*,38.6,194,99.48,0,0,0,17,5
Imran Nazir (PAK),3,3,0,190,160,63.33,175,108.57,1,0,0,17,9
A Symonds (AUS),9,8,5,189,63*,63.0,192,98.43,0,1,0,19,4
MV Boucher (SA),10,7,1,177,75*,29.5,129,137.2,0,2,2,13,11
WTS Porterfield (IRE),9,9,0,172,85,19.11,379,45.38,0,1,2,7,0
Tamim Iqbal (BDESH),9,9,0,172,51,19.11,275,62.54,0,1,0,25,2
KJ O'Brien (IRE),8,8,1,170,49,24.28,263,64.63,0,0,0,13,5
RS Bopara (ENG),8,7,2,165,52,33.0,215,76.74,0,1,1,18,0
JDP Oram (NZ),9,7,2,165,63*,33.0,234,70.51,0,1,0,5,5
V Sehwag (INDIA),3,3,0,164,114,54.66,139,117.98,1,0,0,22,4
SC Ganguly (INDIA),3,3,0,162,89,54.0,266,60.9,0,2,0,10,2
SO Tikolo (KENYA),3,3,1,155,76,77.5,189,82.01,0,2,0,16,1
BJ Hodge (AUS),5,2,0,152,123,76.0,117,129.91,1,0,0,11,7
EC Joyce (ENG),5,5,0,152,75,30.4,221,68.77,0,2,1,14,2
SR Watson (AUS),8,6,5,145,65*,145.0,85,170.58,0,1,0,13,6
Yuvraj Singh (INDIA),3,3,0,136,83,45.33,116,117.24,0,1,0,6,8
Mushfiqur Rahim (BDESH),9,8,3,131,56*,26.2,273,47.98,0,1,1,9,2
DJ Bravo (WI),9,8,2,129,37*,21.5,158,81.64,0,0,0,10,2
DT Johnston (IRE),8,8,2,129,30,21.5,144,89.58,0,0,1,8,5
