Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RG Sharma (INDIA),9,9,1,648,140,81.0,659,98.33,5,1,0,67,14
DA Warner (AUS),10,10,1,647,166,71.88,724,89.36,3,3,0,66,8
Shakib Al Hasan (BDESH),8,8,1,606,124*,86.57,631,96.03,2,5,0,60,2
KS Williamson (NZ),10,9,2,578,148,82.57,771,74.96,2,2,0,50,3
JE Root (ENG),11,11,2,556,107,61.77,621,89.53,2,3,0,48,2
JM Bairstow (ENG),11,11,0,532,111,48.36,573,92.84,2,2,2,67,11
AJ Finch (AUS),10,10,0,507,153,50.7,497,102.01,2,3,1,47,18
Babar Azam (PAK),8,8,1,474,101*,67.71,540,87.77,1,3,0,50,2
BA Stokes (ENG),11,10,3,465,89,66.42,499,93.18,0,5,0,38,11
JJ Roy (ENG),8,7,0,443,153,63.28,384,115.36,1,4,0,51,12
V Kohli (INDIA),9,9,1,443,82,55.37,471,94.05,0,5,0,38,2
F du Plessis (SA),9,8,2,387,100,64.5,432,89.58,1,3,0,36,4
SPD Smith (AUS),10,10,0,379,85,37.9,441,85.94,0,4,0,33,2
AT Carey (AUS),10,9,3,375,85,62.5,360,104.16,0,3,0,46,2
EJG Morgan (ENG),11,10,1,371,148,41.22,334,111.07,1,1,0,26,22
Mushfiqur Rahim (BDESH),8,8,1,367,102*,52.42,396,92.67,1,2,0,30,2
N Pooran (WI),9,8,1,367,118,52.42,366,100.27,1,2,0,33,10
KL Rahul (INDIA),9,9,1,361,111,45.12,466,77.46,1,2,1,31,5
LRPL Taylor (NZ),10,9,0,350,82,38.88,465,75.26,0,3,0,29,2
UT Khawaja (AUS),9,9,0,316,89,35.11,358,88.26,0,2,0,30,1
JC Buttler (ENG),11,9,0,312,103,34.66,254,122.83,1,2,0,22,8
HE van der Dussen (SA),9,6,1,311,95,62.2,344,90.4,0,3,0,14,10
Imam-ul-Haq (PAK),8,8,0,305,100,38.12,400,76.25,1,1,0,31,1
Q de Kock (SA),9,9,1,305,68,38.12,351,86.89,0,3,0,34,4
SD Hope (WI),9,8,0,274,96,34.25,389,70.43,0,3,0,21,3
MDKJ Perera (SL),7,7,0,273,78,39.0,246,110.97,0,3,0,32,1
MS Dhoni (INDIA),9,8,2,273,56*,45.5,311,87.78,0,2,0,20,5
SO Hetmyer (WI),9,8,1,257,54,36.71,253,101.58,0,2,0,25,6
Rahmat Shah (AFG),9,9,0,254,62,28.22,390,65.12,0,1,1,31,1
Mohammad Hafeez (PAK),8,8,0,253,84,31.62,285,88.77,0,1,0,22,5
AD Mathews (SL),7,7,1,244,113,40.66,314,77.7,1,1,2,20,4
CH Gayle (WI),9,8,0,242,87,30.25,274,88.32,0,2,1,26,12
Tamim Iqbal (BDESH),8,8,0,235,62,29.37,328,71.64,0,1,0,25,0
JDS Neesham (NZ),10,8,1,232,97*,33.14,294,78.91,0,1,0,16,5
Najibullah Zadran (AFG),8,8,0,230,51,28.75,259,88.8,0,1,0,25,4
HH Pandya (INDIA),9,9,2,226,48,32.28,201,112.43,0,0,1,21,4
FDM Karunaratne (SL),7,7,1,222,97,37.0,311,71.38,0,2,1,22,0
Mahmudullah (BDESH),7,6,1,219,69,43.8,244,89.75,0,1,0,14,5
WIA Fernando (SL),4,4,0,203,104,50.75,192,105.72,1,0,0,23,4
HM Amla (SA),7,7,2,203,80*,40.6,313,64.85,0,2,0,16,0
Haris Sohail (PAK),5,5,0,198,89,39.6,209,94.73,0,2,0,18,5
Hashmatullah Shahidi (AFG),8,8,0,197,76,24.62,349,56.44,0,2,1,20,2
Gulbadin Naib (AFG),9,9,0,194,47,21.55,243,79.83,0,0,0,20,2
C de Grandhomme (NZ),10,8,0,190,64,23.75,189,100.52,0,2,1,16,4
Fakhar Zaman (PAK),8,8,0,186,62,23.25,227,81.93,0,1,2,24,3
MJ Guptill (NZ),10,10,1,186,73*,20.66,221,84.16,0,1,2,22,4
Liton Das (BDESH),5,5,1,184,94*,46.0,167,110.17,0,1,0,16,5
GJ Maxwell (AUS),10,10,2,177,46*,22.12,118,150.0,0,0,1,19,7
JO Holder (WI),9,7,0,170,51,24.28,156,108.97,0,1,1,16,8
Soumya Sarkar (BDESH),8,8,0,166,42,20.75,164,101.21,0,0,0,24,2
