Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MJ Guptill (NZ),9,9,1,547,237*,68.37,523,104.58,2,1,0,59,16
KC Sangakkara (SL),7,7,2,541,124,108.2,511,105.87,4,0,0,57,7
AB de Villiers (SA),8,7,2,482,162*,96.4,334,144.31,1,3,0,43,21
BRM Taylor (ZIM),6,6,0,433,138,72.16,405,106.91,2,1,0,43,12
S Dhawan (INDIA),8,8,0,412,137,51.5,449,91.75,2,1,0,48,9
SPD Smith (AUS),8,7,1,402,105,67.0,439,91.57,1,4,0,37,4
TM Dilshan (SL),7,7,1,395,161*,65.83,409,96.57,2,1,2,46,3
F du Plessis (SA),7,7,1,380,109,63.33,449,84.63,1,3,0,28,4
Mahmudullah (BDESH),6,6,1,365,128*,73.0,446,81.83,2,1,0,30,6
Misbah-ul-Haq (PAK),7,7,0,350,76,50.0,466,75.1,0,4,0,25,7
DA Warner (AUS),8,8,1,345,178,49.28,287,120.2,1,0,0,38,9
CH Gayle (WI),6,6,0,340,215,56.66,290,117.24,1,1,0,17,26
SC Williams (ZIM),6,6,1,339,96,67.8,311,109.0,0,4,0,29,6
HM Amla (SA),8,8,0,333,159,41.62,350,95.14,1,1,0,35,5
RG Sharma (INDIA),8,8,1,330,137,47.14,360,91.66,1,2,1,33,9
BB McCullum (NZ),9,9,0,328,77,36.44,174,188.5,0,4,1,44,17
GJ Maxwell (AUS),8,6,1,324,102,64.8,178,182.02,1,2,0,35,14
DA Miller (SA),8,7,2,324,138*,64.8,233,139.05,1,0,1,21,14
Shaiman Anwar (UAE),6,6,0,311,106,51.83,340,91.47,1,2,0,34,4
GD Elliott (NZ),9,8,1,310,84*,44.28,294,105.44,0,2,1,29,7
V Kohli (INDIA),8,8,2,305,107,50.83,374,81.55,1,0,0,29,1
HDRL Thirimanne (SL),7,7,1,302,139*,50.33,356,84.83,1,2,1,29,2
Mushfiqur Rahim (BDESH),6,6,0,298,89,49.66,282,105.67,0,3,0,26,5
SK Raina (INDIA),8,6,1,284,110*,56.8,258,110.07,1,2,0,25,8
AJ Finch (AUS),8,8,0,280,135,35.0,304,92.1,1,1,1,26,6
WTS Porterfield (IRE),6,6,0,275,107,45.83,409,67.23,1,1,0,22,3
IR Bell (ENG),6,6,1,262,63,52.4,339,77.28,0,3,0,27,0
Samiullah Shinwari (AFG),6,6,0,254,96,42.33,444,57.2,0,2,0,22,6
KJ Coetzer (SCOT),6,6,0,253,156,42.16,282,89.71,1,1,2,33,4
EC Joyce (IRE),6,6,0,246,112,41.0,250,98.4,1,1,1,23,5
MS Dhoni (INDIA),8,6,2,237,85*,59.25,232,102.15,0,2,0,18,6
A Balbirnie (IRE),6,6,0,236,97,39.33,260,90.76,0,2,0,20,4
KS Williamson (NZ),9,9,2,234,57,33.42,300,78.0,0,1,0,28,2
CJ Anderson (NZ),9,8,1,231,75,33.0,213,108.45,0,2,1,22,9
MN Samuels (WI),7,7,1,230,133*,38.33,298,77.18,1,0,1,20,5
Ahmed Shehzad (PAK),7,7,0,227,93,32.42,313,72.52,0,2,1,24,1
LRPL Taylor (NZ),9,9,2,221,56,31.57,359,61.55,0,1,0,17,0
MJ Clarke (AUS),7,6,0,219,74,36.5,228,96.05,0,2,0,25,3
RR Rossouw (SA),6,5,1,210,61*,52.5,180,116.66,0,2,0,23,5
AM Rahane (INDIA),8,7,1,208,79,34.66,252,82.53,0,1,1,21,3
SR Watson (AUS),7,7,2,208,67,41.6,196,106.12,0,2,1,22,4
JE Root (ENG),6,5,0,202,121,40.4,240,84.16,1,0,0,19,2
NJ O'Brien (IRE),6,6,1,199,79*,39.8,182,109.34,0,2,0,23,3
Shakib Al Hasan (BDESH),6,6,1,196,63,39.2,209,93.77,0,2,0,18,3
AD Mathews (SL),7,5,0,195,51,39.0,217,89.86,0,1,0,11,7
MM Ali (ENG),5,5,0,192,128,38.4,182,105.49,1,0,0,24,5
MW Machan (SCOT),6,6,0,186,56,31.0,230,80.86,0,1,0,21,2
Sabbir Rahman (BDESH),6,6,1,182,53,36.4,185,98.37,0,1,0,18,5
DJG Sammy (WI),7,5,0,177,89,35.4,177,100.0,0,1,0,17,6
Haris Sohail (PAK),6,6,0,177,70,29.5,245,72.24,0,1,1,14,1
